"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"C1";"330nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C";
"C2";"3.3uF Tantalum Solid";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C3";"100uF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";
"C4";"100uF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";
"CURRETN_SENS";"ACS711EXSH";"ACS711EXSH";"POLOLU2453_SMALL_HOLES";"";"";"";"";"";"";
"D1";"MMBZ5259B";"BAS40";"SOT23";"Silicon Schottky Diodes";"";"";"";"";"";
"D2";"MMBZ5259B";"BAS40";"SOT23";"Silicon Schottky Diodes";"";"";"";"";"";
"IC1";"";"MEGAARDUINO_13";"MEGA_ARDUINO_3";"The Arduino Mega is a microcontroller board based on the ATmega1280.";"";"";"";"";"";
"IC2";"M24M02-DR ";"ST95P08M";"SO08";"Serial EEPROM";"";"";"unknown";"unknown";"";
"IC3";"LM258";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"";
"IC4";"LM258";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"";
"J1";"SOLARP1";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J2";"SOLARP2";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J3";"SOLARP3";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J4";"SOLARP4";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J5";"CONV1";"CONN_05";"1X05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J6";"VBAT1_OUT";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J7";"VBAT1_CHRG";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J8";"CONV2";"CONN_05";"1X05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J9";"VBAT2_OUT";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J10";"VBAT2_CHRG";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J11";"PLED1";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J12";"PLED2";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J13";"PLED3";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";
"J14";"DWM";"22-27-2081-08";"6410-08";"CONNECTOR";"";"";"";"";"";
"K1";"AQY212GS ";"AQY21SOP";"SOP04";"PhotoMOS Relay NAiS";"";"";"unknown";"unknown";"";
"K2";"AQY212GS ";"AQY21SOP";"SOP04";"PhotoMOS Relay NAiS";"";"";"unknown";"unknown";"";
"L1";"1uH";"L-USL3225M";"L3225M";"INDUCTOR, American symbol";"";"";"";"";"";
"L2";"1uH";"L-USL3225M";"L3225M";"INDUCTOR, American symbol";"";"";"";"";"";
"NMOSFET_1";"AOD514";"N_MOSFET_TO252";"TO252";"";"";"";"";"";"";
"NMOSFET_2";"AOD514";"N_MOSFET_TO252";"TO252";"";"";"";"";"";"";
"NMOSFET_3";"AOD514";"N_MOSFET_TO252";"TO252";"";"";"";"";"";"";
"R1";"820k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R2";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R3";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R4";"820k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R5";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R6";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R7";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R8";"6.8k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R9";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R10";"1.5k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R11";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R12";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R13";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R14";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R15";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R16";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R17";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R18";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R19";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"U$2";"ACS711EXSH";"ACS711EXSH";"POLOLU2453_SMALL_HOLES";"";"";"";"";"";"";
