"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"C2";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";
"D1";"9V";"ZENER-DIODESOT23";"SOT23";"Z-Diode";"";"";"";"";"";"";
"D3";"9V";"ZENER-DIODESOT23";"SOT23";"Z-Diode";"";"";"";"";"";"";
"IC1";"LM4040/385 (2.5V)";"LM4041A12DBZ";"DBZ_R-PDSO-G3";"PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE";"";"LM4041A12IDBZR";"1407949";"58K5875";"";"";
"IC2";"LM358D";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"";"";
"J1";"Weather st.";"22-05-7088-08";"7395-08";"CONNECTOR";"";"";"";"";"";"";
"J2";"Storm Det";"22-05-7038-03";"7395-03";"CONNECTOR";"";"";"";"";"";"";
"J6";"LF Comm";"22-05-7058-05";"7395-05";"CONNECTOR";"";"";"";"";"";"";
"J7";"HF Comm";"22-05-7058-05";"7395-05";"CONNECTOR";"";"";"";"";"";"";
"J9";"Ext 5V";"22-05-7038-03";"7395-03";"CONNECTOR";"";"";"";"";"";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";
"OK1";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"PC817X4J000F";"9707727";"97K7059";"";"";
"OK2";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"PC817X4J000F";"9707727";"97K7059";"";"";
"Q1";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"TRANS-12988";"5.8A/30V/35mΩ";
"Q2";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"TRANS-12988";"5.8A/30V/35mΩ";
"Q3";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"TRANS-12988";"5.8A/30V/35mΩ";
"Q4";"BSS138";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"TRANS-12988";"5.8A/30V/35mΩ";
"R1";"5k6";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R2";"2k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R3";"470";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R4";"0.3k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R5";"1.2k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R6";"4.7k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R7";"5k6";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R8";"2k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R9";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R10";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R11";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R12";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R13";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R14";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R15";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R17";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R27";"470";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R28";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"R30";"1k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";
"U$2";"NUCLEO_F411RE_MORPHO";"NUCLEO_F411RE_MORPHO";"MORPHO_HEADERS";"";"";"";"";"";"";"";
"U$14";"AM1S-0505";"AM1S-0505";"SIP4";"";"";"";"";"";"";"";
"U13";"MCP3008SL";"MCP3008SL";"SO16";"";"";"";"";"";"";"";
"U15";"ADUM1311";"ADUM1311";"SOIC-16W";"";"";"";"";"";"";"";
